Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,108.575,27.275,-90.0,top
C2,1uF,C_0603_1608Metric,106.075,20.9,180.0,top
C3,4.7n,C_0805_2012Metric,100.13,49.45,-15.5,top
D3,D_Schottky,D_SOD-323,106.075,27.975,180.0,top
ESD1,USBLC6-2P6,SOT-666,106.425,34.9,-90.0,top
Q1,AO3407,SOT-23,106.45,30.65,0.0,top
Q2,AO3407,SOT-23,111.25,25.825,90.0,top
R1,5.1K,R_0603_1608Metric,107.86,39.915,-90.0,top
R2,5.1K,R_0603_1608Metric,105.15,39.885,-90.0,top
R3,100K,R_0603_1608Metric,103.775,7.175,-90.0,top
R4,806/820k,R_0603_1608Metric,110.025,21.975,-90.0,top
R5,2M,R_0603_1608Metric,112.625,21.15,0.0,top
R6,1K,R_0603_1608Metric,114.07,24.0,-90.0,top
R7,1K,R_0603_1608Metric,116.03,24.0,-90.0,top
R8,10K,R_0603_1608Metric,117.58,26.83,90.0,top
R9,2M,R_0603_1608Metric,110.05,30.525,90.0,top
R10,1M,R_0603_1608Metric,99.54,47.24,-15.5,top
SW_POW1,SW_SPDT,SW_SPDT_PCM12,119.075,37.125,111.0,top
U2,XC6206P LDO,SOT-23,106.075,24.0,90.0,top
U3,LTC4054ES5-4.2,TSOT-23-5,120.22,26.54,90.0,top
